상품링크,모델명,원본 상품명,크롤링된 상품명,상품구성,최저가,배송비,배송비포함가,배송비정보,쇼핑몰,크롤링시간,상태
https://search.shopping.naver.com/catalog/35316945627,CGN00965,CGN 락토비프 프로바이오틱스 300억 유산균 60캡슐,캘리포니아골드뉴트리션 LactoBif 프로바이오틱 300억 CFU 60캡슐 : 네이버 가격비교,기본 구성,22490,0,22490,"배송비
무료",비타케어365,2025-08-29 12:41:55,OK
https://search.shopping.naver.com/catalog/35316945627,CGN00965,CGN 락토비프 프로바이오틱스 300억 유산균 60캡슐,캘리포니아골드뉴트리션 LactoBif 프로바이오틱 300억 CFU 60캡슐 : 네이버 가격비교,상품구성: 1개,22490,0,22490,"배송비
무료",비타케어365,2025-08-29 12:42:03,OK
https://search.shopping.naver.com/catalog/53547017737,CGN01266,오메가3 800 90캡슐,캘리포니아골드뉴트리션 오메가 800 1000mg x 90캡슐 1개 : 네이버 가격비교,기본 구성,29890,0,29890,"배송비
무료",비타케어365,2025-08-29 12:42:13,OK
https://search.shopping.naver.com/catalog/53547017737,CGN01266,오메가3 800 90캡슐,캘리포니아골드뉴트리션 오메가 800 1000mg x 90캡슐 1개 : 네이버 가격비교,개당 수량: 30캡슐,13500,0,13500,"배송비
무료",비타케어365,2025-08-29 12:42:15,OK
