product_id,product_name,product_url,current_price,original_price,discount_rate,rating,review_count,delivery_badge,is_rocket,crawled_at
3088278046,"나우푸드 PQQ 에너지 베지 캡슐, 30정, 1개",https://www.coupang.com/vp/products/209296?itemId=400753&vendorItemId=3088278046&q=나우푸드&searchId=eb8c0a122802967&sourceType=search&itemsCount=36&searchRank=633&rank=633,"21,770원","43,190원",49%,4.0,17,조건부 무료배송,True,2025-09-03T12:00:28.027309
70487906222,"나우푸드 에너자이징 에센셜 오일 블렌드 롤-온 페퍼민트, 1개, 10ml",https://www.coupang.com/vp/products/1448147821?itemId=2494712805&vendorItemId=70487906222&q=나우푸드&searchId=eb8c0a122802967&sourceType=search&itemsCount=36&searchRank=634&rank=634,"11,670원",,,4.5,36,조건부 무료배송,True,2025-09-03T12:00:28.027580
3088278426,"나우푸드 인스턴타이즈드 미셀라 카제인 언플레이버드, 1개, 816g",https://www.coupang.com/vp/products/209594?itemId=401886&vendorItemId=3088278426&q=나우푸드&searchId=eb8c0a122802967&sourceType=search&itemsCount=36&searchRank=635&rank=635,"44,920원","49,920원",10%,5.0,32,무료배송,True,2025-09-03T12:00:28.027862
3085560950,"나우푸드 골든 플랙스 씨드 밀, 624g, 1개",https://www.coupang.com/vp/products/584999?itemId=65489&vendorItemId=3085560950&q=나우푸드&searchId=eb8c0a122802967&sourceType=search&itemsCount=36&searchRank=636&rank=636,"14,450원","16,610원",13%,4.5,57,조건부 무료배송,True,2025-09-03T12:00:28.028142
88549485251,"나우푸드 아연 피콜리네이트 50mg 베지캡슐, 1개, 60정",https://www.coupang.com/vp/products/8184529495?itemId=21495579931&vendorItemId=88549485251&q=나우푸드&searchId=eb8c0a122802967&sourceType=search&itemsCount=36&searchRank=637&rank=637,"8,600원","9,890원",13%,5.0,11,조건부 무료배송,True,2025-09-03T12:00:28.028422
3214956733,"나우푸드 로우 피칸 언솔티드, 340g, 1개",https://www.coupang.com/vp/products/584919?itemId=2065686&vendorItemId=3214956733&q=나우푸드&searchId=eb8c0a122802967&sourceType=search&itemsCount=36&searchRank=638&rank=638,"14,890원","17,120원",13%,4.5,140,조건부 무료배송,True,2025-09-03T12:00:28.028705
3085691679,"나우푸드 크리스탈라이즈드 진저 다이스, 454g, 1개",https://www.coupang.com/vp/products/25095?itemId=63534&vendorItemId=3085691679&q=나우푸드&searchId=eb8c0a122802967&sourceType=search&itemsCount=36&searchRank=639&rank=639,"16,990원",,,4.5,20,조건부 무료배송,True,2025-09-03T12:00:28.028975
92075676117,"나우푸드 AAKG 2200 아미노 애시드 베지 캡슐, 1개",https://www.coupang.com/vp/products/8373141755?itemId=25071594433&vendorItemId=92075676117&q=나우푸드&searchId=eb8c0a122802967&sourceType=search&itemsCount=36&searchRank=640&rank=640,"27,690원","31,830원",13%,5.0,1,무료배송,True,2025-09-03T12:00:28.029253
3191886200,"나우푸드 아미노 컴플릿 캡슐, 1개",https://www.coupang.com/vp/products/7317250355?itemId=1199540&vendorItemId=3191886200&q=나우푸드&searchId=eb8c0a122802967&sourceType=search&itemsCount=36&searchRank=641&rank=641,"11,710원","17,270원",32%,4.5,18,조건부 무료배송,True,2025-09-03T12:00:28.029532
3216128182,"나우푸드 캐스터 오일 퓨어, 473ml, 1개",https://www.coupang.com/vp/products/583349?itemId=2055668&vendorItemId=3216128182&q=나우푸드&searchId=eb8c0a122802967&sourceType=search&itemsCount=36&searchRank=642&rank=642,"10,870원","12,500원",13%,4.5,3768,조건부 무료배송,True,2025-09-03T12:00:28.029812
3086593695,"나우푸드 글루코만난 575mg 캡슐 글루텐 프리, 1개, 상세설명참조",https://www.coupang.com/vp/products/29319?itemId=70373&vendorItemId=3086593695&q=나우푸드&searchId=eb8c0a122802967&sourceType=search&itemsCount=36&searchRank=643&rank=643,"18,210원","20,940원",13%,4.5,106,조건부 무료배송,True,2025-09-03T12:00:28.030094
3143421539,"나우푸드 슬립 베지 캡슐 글루텐 프리 비건, 1개",https://www.coupang.com/vp/products/8222992227?itemId=25981056365&vendorItemId=3143421539&q=나우푸드&searchId=eb8c0a122802967&sourceType=search&itemsCount=36&searchRank=644&rank=644,"20,450원","24,830원",17%,4.0,206,조건부 무료배송,True,2025-09-03T12:00:28.030382
3086380672,"Now Foods 스포츠 트리뷸러스 1000mg 타블렛, 1개, One Size",https://www.coupang.com/vp/products/29212?itemId=70190&vendorItemId=3086380672&q=나우푸드&searchId=eb8c0a122802967&sourceType=search&itemsCount=36&searchRank=645&rank=645,"30,360원","34,900원",13%,4.5,308,무료배송,True,2025-09-03T12:00:28.030662
3531343931,"나우푸드 크레-알카린 크레아틴 캡슐, 240개입, 1개",https://www.coupang.com/vp/products/65092538?itemId=219964882&vendorItemId=3531343931&q=나우푸드&searchId=eb8c0a122802967&sourceType=search&itemsCount=36&searchRank=646&rank=646,"32,720원","53,990원",39%,5.0,22,무료배송,True,2025-09-03T12:00:28.030941
3265968717,"나우푸드 에센셜 방향아로마오일, 30ml, 1개",https://www.coupang.com/vp/products/5426786937?itemId=8792829&vendorItemId=3265968717&q=나우푸드&searchId=eb8c0a122802967&sourceType=search&itemsCount=36&searchRank=647&rank=647,"10,020원","11,520원",13%,4.5,60,조건부 무료배송,True,2025-09-03T12:00:28.031227
88994199635,"나우푸드 벤토나이트 클레이 파우더 퓨어, 1개, 312g",https://www.coupang.com/vp/products/7951160326?itemId=21946366972&vendorItemId=88994199635&q=나우푸드&searchId=50baad39223949&sourceType=search&itemsCount=36&searchRank=648&rank=648,"15,390원","17,690원",13%,2.5,2,조건부 무료배송,True,2025-09-03T12:00:56.026219
3273152773,"스완슨 비오틴 5mg 캡슐, 100정, 1개",https://www.coupang.com/vp/products/3239392?itemId=14966848&vendorItemId=3273152773&q=나우푸드&searchId=50baad39223949&sourceType=search&itemsCount=36&searchRank=649&rank=649,"7,160원","9,550원",25%,5.0,1580,조건부 무료배송,True,2025-09-03T12:00:56.026497
3086541330,"나우푸드 밀싹 파우더 비건, 1개, 255g",https://www.coupang.com/vp/products/29103?itemId=70005&vendorItemId=3086541330&q=나우푸드&searchId=50baad39223949&sourceType=search&itemsCount=36&searchRank=650&rank=650,"18,900원","21,730원",13%,4.5,6,조건부 무료배송,True,2025-09-03T12:00:56.026763
