product_id,product_name,product_url,current_price,original_price,discount_rate,rating,review_count,delivery_badge,is_rocket,crawled_at
3180741512,"나우푸드 실리마린 밀크 시슬 추출물 300mg 베지 캡슐, 200정, 1개",https://www.coupang.com/vp/products/7156986260?itemId=13254294391&vendorItemId=3180741512&pickType=COU_PICK&q=나우푸드&searchId=083c1b9690916&sourceType=search&itemsCount=36&searchRank=0&rank=0,"25,050원","47,510원",47%,5.0,79568,조건부 무료배송,True,2025-09-03T11:33:38.919369
3180741511,"나우푸드 더블 스트랭스 L-아르기닌 1000mg 타블렛, 120정, 1개",https://www.coupang.com/vp/products/7066907732?itemId=5013025207&vendorItemId=3180741511&q=나우푸드&searchId=083c1b9690916&sourceType=search&itemsCount=36&searchRank=1&rank=1,"19,500원","30,230원",35%,5.0,25033,조건부 무료배송,True,2025-09-03T11:33:38.919728
3265972233,"나우푸드 프로바이오틱-10 유산균 250억 베지 캡슐, 100정, 1개",https://www.coupang.com/vp/products/2638550?itemId=12788104766&vendorItemId=3265972233&q=나우푸드&searchId=083c1b9690916&sourceType=search&itemsCount=36&searchRank=2&rank=2,"29,990원","53,990원",44%,5.0,15014,무료배송,True,2025-09-03T11:33:38.920138
3087575897,"나우푸드 데일리 비츠 멀티비타민 & 미네랄 타블렛, 250정, 1개",https://www.coupang.com/vp/products/209272?itemId=24200226781&vendorItemId=3087575897&q=나우푸드&searchId=083c1b9690916&sourceType=search&itemsCount=36&searchRank=3&rank=3,"27,950원","34,550원",19%,5.0,12027,무료배송,True,2025-09-03T11:33:38.920463
70393847458,"나우푸드 멀레큐럴리 디스틸드 오메가3 1000mg 피쉬 소프트젤, 200정, 1개",https://www.coupang.com/vp/products/35838053?itemId=68202&vendorItemId=70393847458&q=나우푸드&searchId=083c1b9690916&sourceType=search&itemsCount=36&searchRank=4&rank=4,"18,840원","21,660원",13%,5.0,16146,조건부 무료배송,True,2025-09-03T11:33:38.920750
70393847077,"나우푸드 울트라 오메가 3 500 EPA & 250 DHA 1000mg 피쉬 소프트젤, 180정, 1개",https://www.coupang.com/vp/products/7559679373?itemId=10076200032&vendorItemId=70393847077&q=나우푸드&searchId=083c1b9690916&sourceType=search&itemsCount=36&searchRank=5&rank=5,"37,140원","42,690원",13%,5.0,35629,무료배송,True,2025-09-03T11:33:38.921033
3086574774,"나우푸드 아연 50mg, 250정, 1개",https://www.coupang.com/vp/products/6395389697?itemId=12107900018&vendorItemId=3086574774&q=나우푸드&searchId=083c1b9690916&sourceType=search&itemsCount=36&searchRank=6&rank=6,"12,040원","15,110원",20%,5.0,20075,조건부 무료배송,True,2025-09-03T11:33:38.921311
3531485704,"나우푸드 글루타티온 500mg 베지 캡슐, 60정, 1개",https://www.coupang.com/vp/products/208403063?itemId=220021146&vendorItemId=3531485704&q=나우푸드&searchId=083c1b9690916&sourceType=search&itemsCount=36&searchRank=7&rank=7,"27,060원","31,110원",13%,5.0,5038,무료배송,True,2025-09-03T11:33:38.921583
3180742161,"나우푸드 L-카르니틴 1000 mg 타블렛, 100정, 1개",https://www.coupang.com/vp/products/7648633891?itemId=20733109053&vendorItemId=3180742161&q=나우푸드&searchId=083c1b9690916&sourceType=search&itemsCount=36&searchRank=8&rank=8,"27,970원","71,270원",60%,5.0,6505,무료배송,True,2025-09-03T11:33:38.921855
3085763155,"나우푸드 마그네슘 캡 400mg 베지 캡슐, 180정, 1개",https://www.coupang.com/vp/products/26208?itemId=65370&vendorItemId=3085763155&q=나우푸드&searchId=083c1b9690916&sourceType=search&itemsCount=36&searchRank=9&rank=9,"14,790원","19,430원",23%,5.0,8041,조건부 무료배송,True,2025-09-03T11:33:38.922203
